"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Li, L.; Chen, X.; Zhang, L.; Li, Q.; Yang, Y.; Chen, J.","Li, Luning (57209909839); Chen, Xiang (54784114100); Zhang, Luyun (57735568500); Li, Qiang (56313470500); Yang, Yang (56184621100); Chen, Jin (55717837500)","57209909839; 54784114100; 57735568500; 56313470500; 56184621100; 55717837500","Space–time tourist flow patterns in community-based tourism: an application of the empirical orthogonal function to Wi-Fi data","2023","Current Issues in Tourism","26","18","","3004","3022","0","17","10.1080/13683500.2022.2106826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135826244&doi=10.1080%2F13683500.2022.2106826&partnerID=40&md5=6c59f930211d7a90c4e2dd1a6ed7abbb","Beijing Normal University, Beijing, China; Department of Geography, University of Connecticut, Storrs, United States; Temple University, Philadelphia, United States","Li, Luning, Beijing Normal University, Beijing, China; Chen, Xiang, Department of Geography, University of Connecticut, Storrs, United States; Zhang, Luyun, Beijing Normal University, Beijing, China; Li, Qiang, Beijing Normal University, Beijing, China; Yang, Yang, Temple University, Philadelphia, United States; Chen, Jin, Beijing Normal University, Beijing, China","Community-based tourism is a sustainable form of tourism development where tourists visit residential communities to interact with local lives and cultures for an enhanced travel experience. Identifying and tracking tourist activities in community-based tourism is particularly challenging, as tourists have shared activity spaces with residents. The paper proposes a new method to study the space–time patterns of the tourist flow using Wi-Fi data. Specifically, we have tracked Wi-Fi probe requests over six months in the Shichahai scenic area, a famous community-based tourist attraction in Beijing, China. After deriving the tourist flow from the Wi-Fi data, we have applied the empirical orthogonal function (EOF) method to the identification of the spatial aggregation pattern and the temporality of the tourist flow. A follow-up explanatory analysis examines the environmental impacts, such as weather conditions, air quality, and travel days, on the space–time patterns. The study is among the first to employ Wi-Fi data to study travel behaviours in community-based tourism. The proposed method can shed insights into a better understanding of tourist behaviours in open-space, tourism-oriented urban communities. © 2023 Elsevier B.V., All rights reserved.","Community-based tourism; empirical orthogonal function (EOF); open-space; space–time; Wi-Fi data","data set; spatiotemporal analysis; tourism; tourism development; tourist attraction; Beijing [Beijing (ADS)]; Beijing [China]; China; Shichahai","Q. Li; State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, China; email: liqiang@bnu.edu.cn","","Routledge","13683500","","","","English","Curr. Issues Tour.","Article","Final","","Scopus","2-s2.0-85135826244"
"Rodrigues, Á.; Loureiro, S.M.C.; Moraes, M.; Pereira, R.G.","Rodrigues, Áurea L.O. (18435322400); Loureiro, Sandra María Correia (27467492100); Moraes, Michelle (57218850692); Pereira, Rosária Gomes (59275974500)","18435322400; 27467492100; 57218850692; 59275974500","Memorable tourism experience in the context of astrotourism","2023","Anatolia","34","2","","235","247","0","18","10.1080/13032917.2021.2015695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122812303&doi=10.1080%2F13032917.2021.2015695&partnerID=40&md5=a2ce98f0c7c34add2d6e2954b95f8731","Department of Sociology, University of Évora, Evora, Portugal; Department of Marketing, Operations and Management, Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal; Mercados e Gestão Industrial (CoMEG), Universidade Lusíada de Lisboa, Lisbon, Portugal; Sustainability and Well-being (CinTurs), Universidade do Algarve, Faro, Portugal","Rodrigues, Áurea L.O., Department of Sociology, University of Évora, Evora, Portugal; Loureiro, Sandra María Correia, Department of Marketing, Operations and Management, Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal; Moraes, Michelle, Mercados e Gestão Industrial (CoMEG), Universidade Lusíada de Lisboa, Lisbon, Portugal; Pereira, Rosária Gomes, Sustainability and Well-being (CinTurs), Universidade do Algarve, Faro, Portugal","Astrotourism involves a variety of activities carried out during the night, requiring a deeper knowledge about the cognitive and emotional process that the tourist has and that leads to a memorable experience and loyalty. This study explores how (i) astrotourism stimuli are associated with cognitive states, designed by knowledge and involvement, (ii) cognitive states increase emotional states, represented by hedonism and refreshment, and (ii) emotional states generate responses, such as recommendation and loyalty. This study contributes to extending the S (stimulus) -O (organism) -R (response) framework by integrating cognitive appraisal theory and incorporating stimuli, cognitive and emotional states not used in the previous research. Recommendations for astrotourism destination managers are also discussed. © 2023 Elsevier B.V., All rights reserved.","astrotourism experience; cognitive appraisal; Memorable tourism experience; S(stimuli)-O(organism)-R(response) approach; tourist loyalty","cognition; tourism development; tourism management; tourist behavior; tourist destination","Á. Rodrigues; Department of Sociology and Interdisciplinary, Centre for History, Culture and Societies (CIDEHUS), Universidade de Évora, Evora, Portugal; email: aor@uevora.pt","","Routledge","13032917; 21566909","","","","English","Anatolia","Article","Final","","Scopus","2-s2.0-85122812303"
"Rodrigues, Á.; Loureiro, S.M.C.","Rodrigues, Áurea L.O. (18435322400); Loureiro, Sandra María Correia (27467492100)","18435322400; 27467492100","Analyzing the strength of novelty and meaningfulness in astrotourism experiences: the mediating role of hedonism","2022","Consumer Behavior in Tourism and Hospitality","17","4","","453","467","0","6","10.1108/CBTH-01-2022-0027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146286137&doi=10.1108%2FCBTH-01-2022-0027&partnerID=40&md5=ff14736699e1fccdb449de9dc24533eb","Department of Sociology and CIDEHUS, Centro Interdisciplinar de História, Culturas e Sociedades, Evora, Portugal; Department of Marketing, Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal","Rodrigues, Áurea L.O., Department of Sociology and CIDEHUS, Centro Interdisciplinar de História, Culturas e Sociedades, Evora, Portugal; Loureiro, Sandra María Correia, Department of Marketing, Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal","Purpose: This study aims to explore the relationships among novelty, meaningfulness, hedonism and loyalty in the context of an astrotourism experience. Design/methodology/approach: Data were collected using a convenience sample at an astrotourism event in Portugal. A self‐administered questionnaire was designed using established scales. In total, 296 usable responses were analyzed using partial least square (PLS)-structural equation modeling. Findings: The result of the structural model shows that novelty and meaningfulness affect hedonism, which in turn influences loyalty. Novelty and meaningfulness contribute 62.8% to the variance in hedonism and 31.3% to the variability in loyalty. Originality/value: This study deepens knowledge of the tourist behavior of astrotourists. Destinations and managers that develop astrotourism activities can also benefit from deeper knowledge about the emotional process of the astrotourism experience and its impact on behavioral loyalty. © 2023 Elsevier B.V., All rights reserved.","Astrotourism; Behavioral loyalty; Hedonism; Meaningfulness; Novelty; PLS-SEM","consumption behavior; hedonic analysis; methodology; public attitude; tourist behavior; traditional knowledge; Missouri; Novelty; Portugal; United States","Á. Rodrigues; Department of Sociology and CIDEHUS, Interdisciplinary Centre for History, Cultures and Societies, University of Évora, Évora, Portugal; email: aor@uevora.pt","","Emerald Publishing","27526674; 27526666","","","","English","Consum. Behav. Hosp. Res.","Article","Final","","Scopus","2-s2.0-85146286137"
"Khetrapal, N.; Bhatia, D.","Khetrapal, Neha (57193782432); Bhatia, Divya (57204561468)","57193782432; 57204561468","Our brightly-lit future: Exploring the potential for astrotourism in Khajuraho (India)","2022","Canadian Geographies/Geographies Canadiennes","66","3","","621","627","0","7","10.1111/cag.12742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123572686&doi=10.1111%2Fcag.12742&partnerID=40&md5=5933eb3f51bad2c6c33e15488ea94579","O.P. Jindal Global University, Sonipat, India; O.P. Jindal Global University, Sonipat, India","Khetrapal, Neha, O.P. Jindal Global University, Sonipat, India; Bhatia, Divya, O.P. Jindal Global University, Sonipat, India","The night skies have traditionally offered a means of navigation, symbolized the gods, and inspired architecture and creative planning. With the advent of urbanization and the consequent increase in artificial light at night (ALAN), humans have severed their connection with the skies. Some suggest that “astrotourism” may serve as a viable means of re-establishing this relationship. While astrotourism is usually used for referring to activities that revolve around stargazing with “aided” or “naked” eyes, we highlight that there is scope to include exploration of historic monument ensembles and night-time storytelling as a part of astrotourism. Focusing on Khajuraho, we further underscore that ALAN should be replaced with intelligent night lighting strategies to maximize the night-time travel experience for those who take inspiration from the dark skies to reconstruct the historical significance of heritage. As we gradually revitalize our relations with the nocturnal environment, it is hoped that the night skies will infuse our social practices, creative imagination, and historical appreciation with a new vigour. © 2022 Elsevier B.V., All rights reserved.","dark skies; heritage; monument; starlight reserve; travel","","N. Khetrapal; Jindal Institute of Behavioural Sciences, O.P. Jindal Global University, India; email: nkhetrapal@jgu.edu.in","","John Wiley and Sons Inc","15410064; 00083658","","","","English","Can. Geogr.","Article","Final","","Scopus","2-s2.0-85123572686"
"Escario-Sierra, F.; Álvarez-Alonso, C.; Fierro, J.A.; Sanagustín Fons, V.","Escario-Sierra, Francisco (57731291700); Álvarez-Alonso, César (57203568682); Fierro, José A.Moseñe (36547606100); Sanagustín Fons, María Victoria (58183681200)","57731291700; 57203568682; 36547606100; 58183681200","Sustainable Tourism, Social and Institutional Innovation—The Paradox of Dark Sky in Astrotourism","2022","Sustainability (Switzerland)","14","11","6419","","","0","9","10.3390/su14116419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131535186&doi=10.3390%2Fsu14116419&partnerID=40&md5=ba08dceb968d658e119c49dc07c340af","Department of Psychology and Sociology, Universidad de Zaragoza, Zaragoza, Spain; Public Law and Economic Regulation, IE Universidad, Segovia, Spain; Department of Accounting and Finance, Universidad de Zaragoza, Zaragoza, Spain","Escario-Sierra, Francisco, Department of Psychology and Sociology, Universidad de Zaragoza, Zaragoza, Spain; Álvarez-Alonso, César, Public Law and Economic Regulation, IE Universidad, Segovia, Spain; Fierro, José A.Moseñe, Department of Accounting and Finance, Universidad de Zaragoza, Zaragoza, Spain; Sanagustín Fons, María Victoria, Department of Psychology and Sociology, Universidad de Zaragoza, Zaragoza, Spain","Astrotourism is an emerging type of sustainable tourism based on the observation of the dark sky, free of light pollution, and of all the experiences that have developed around it. The views and perceptions of the main social actors and their constellations and interactions are considered. Both the public decision-makers concerning astrotourism and the civil society involved were analysed in this research through a case study in Aragon, an inland Spanish region. New institutionalism in sociology based on the actors provides a coherent structural framework and explanation of the most relevant aspects in astrotourism in Aragon as well as help to understand the social and institutional innovation, in the sense that civil society has organised itself for many years to show and bring astronomy closer to the social majority; in light of this social reality, institutions have had to respond appropriately, taking and allowing for the participation of astronomical associations, in order to develop tourist experiences in relation to the appropriate dissemination of this science. Even more so, we studied the socioeconomic dynamics and territorial impacts. Thanks to the application of a qualitative method, specifically, semi-structured interviews with relevant informants in the territory, we discovered a hidden relevant social situation around astrotourism. Is the so called “paradox of dark sky” that emerges in communities where social welfare gains such as widespread access to artificial light are jeopardised by a new collective approach to artificial light control and light pollution that prevents high-impact emotional experiences around the dark sky, but takes into account that astrotourism is an opportunity for the endogenous and sustainable socioeconomic development of these forgotten areas. © 2022 Elsevier B.V., All rights reserved.","astrotourism; case study; sustainable tourism offer; territorial development","astronomy; civil society; ecotourism; light pollution; pollution; Aragon; Spain","V. Sanagustín-Fons; Department of Psychology and Sociology, University of Zaragoza, Zaragoza, 50009, Spain; email: vitico@unizar.es","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85131535186"
"Rodrigues, Á.; Loureiro, S.M.C.; Prayag, G.","Rodrigues, Áurea L.O. (18435322400); Loureiro, Sandra María Correia (27467492100); Prayag, Girish (16317566300)","18435322400; 27467492100; 16317566300","The wow effect and behavioral intentions of tourists to astrotourism experiences: Mediating effects of satisfaction","2022","International Journal of Tourism Research","24","3","","362","375","0","28","10.1002/jtr.2507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121034680&doi=10.1002%2Fjtr.2507&partnerID=40&md5=16e9d21444799513671fb50b99d149ec","University of Évora, Evora, Portugal; Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal; Department of Management, University of Canterbury, Christchurch, New Zealand","Rodrigues, Áurea L.O., University of Évora, Evora, Portugal; Loureiro, Sandra María Correia, Iscte – Instituto Universitário de Lisboa, Lisbon, Portugal; Prayag, Girish, Department of Management, University of Canterbury, Christchurch, New Zealand","The purpose of this study is to ascertain the effect of awe on tourist behavioral intentions for astrotourism destinations. Awe is theorized as a multi-dimensional concept with both cognitive and affective elements. A behavioral model depicting the relationships among awe, tourist satisfaction and behavioral intentions is proposed and examined among 304 tourists to the Dark Sky Party Alqueva in Portugal. Using partial-least squares structural equation modeling (PLS-SEM), the results indicate that awe directly affects tourist satisfaction and indirectly affects behavioral intentions when mediated by tourist satisfaction. Theoretical and managerial implications are presented. © 2022 Elsevier B.V., All rights reserved.","astrotourism experience; awe; behavioral intentions; PLS-SEM; satisfaction","least squares method; theoretical study; tourism management; tourist behavior; tourist destination; Portugal","Á. Rodrigues; CIDEHUS, University of Évora, Évora, Portugal; email: aor@uevora.pt","","John Wiley and Sons Ltd","15221970; 10992340","","","","English","Int. J. Tour. Res.","Article","Final","","Scopus","2-s2.0-85121034680"
"Florom-Smith, A.L.; Klingenberger, J.K.; DiBiase, C.P.","Florom-Smith, Aubrey L. (37101324000); Klingenberger, J. Karen (57407343200); DiBiase, Cathy P. (57407882000)","37101324000; 57407343200; 57407882000","Commercial space tourism: An integrative review of spaceflight participant psychological assessment and training","2022","REACH","25-26","","100043","","","0","2","10.1016/j.reach.2021.100043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122632714&doi=10.1016%2Fj.reach.2021.100043&partnerID=40&md5=8ccf632bd31d8071b5beab6172a97844","Stanford Healthcare, Stanford, United States; Joint Base Langley-Eustis, Hampton, United States","Florom-Smith, Aubrey L., Stanford Healthcare, Stanford, United States; Klingenberger, J. Karen, Joint Base Langley-Eustis, Hampton, United States; DiBiase, Cathy P., ","Health issues typical of the expected commercial space tourism (CST) population are considered manageable, but less is known about the impact of psychological conditions on spaceflight participant (SFP) wellbeing and safety during spaceflight. Plans to detect and prepare SFP for potential effects of psychological conditions emerging during spaceflight are unknown and may be inadequate. The purpose of this integrative literature review was to identify CST operators’ plans for SFP psychological assessment and training. Forty-four (44) articles met inclusion criteria and were largely composed of grey and popular literature sourced online. Plans for SFP psychological assessment and training prior to CST were not found, although vague descriptions of training for specific CST opportunities and limited medical assessment information was located. An undisclosed or possibly non-existent psychological support approach will likely be insufficient to ensure SFP safety and optimal performance during emergencies. Instead, detailed and focused intentional screening of SFP should be completed by appropriate members of a transdisciplinary healthcare team at various phases of the spaceflight experience. Following assessment, collaborative decision making to develop training, interventions, and mitigation strategies in support of individual SFP psychological needs should occur before, during and after spaceflight. The strategies should align with standards of care and inform urgently-needed SFP research. Knowledge gained from future research will contribute to appropriate, effective SFP psychological assessments, intervention and training development, testing, and implementation, and overall management of SFP programs and strategy development aimed at optimizing the CST experience and goals. © 2022 Elsevier B.V., All rights reserved.","Aerospace psychology; Commercial space tourism; Mental health; Spaceflight participant; Tourist","","A.L. Florom-Smith; Stanford Health Care, Menlo Park, 301 Ravenswood Ave., AB Building, 2nd Floor, 94025, United States; email: AFloromSmith@stanfordhealthcare.org","","Elsevier GmbH","23523093","","","","English","REACH","Review","Final","","Scopus","2-s2.0-85122632714"
"Damjanov, K.","Damjanov, Katarina (55633058500)","55633058500","Commodity and the commons: accumulations of capital on the space frontier","2022","Journal of Cultural Economy","15","5","","584","598","0","4","10.1080/17530350.2022.2066709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130630877&doi=10.1080%2F17530350.2022.2066709&partnerID=40&md5=5b00d1c65d51482828eebecd3fcee44f","Media and Communication, The University of Western Australia, Perth, Australia","Damjanov, Katarina, Media and Communication, The University of Western Australia, Perth, Australia","Designated as one of the global commons, outer space steadily matures as a commodity frontier at which to propel the designs and imaginaries of capitalist economy. While plans to mine the Moon, massify space tourism and colonise Mars are still works in development, the routes of its conquest expand exponentially down here on Earth, as its spectacular proceedings are mediated into a range of images, events, artefacts, samples, and experiences that disperse across the productive and reproductive ambits of terrestrial cultures. These spin-off commodities herald the evolution of the high-tech structures of power that seek to seize control over shared natural and social resources and temper the ways in which the species assembles around the commons of space. I attend to the endeavour to incorporate space into the capitalist world-system by exploring the cultural logics that precede and underpin its expansions along its ‘final frontier’. Highlighting the role of commodity in more-than planetary accumulations of capital, I suggest that its proliferation is not merely an outcome of nascent forms of technological imperialisms as they set out to claim their cosmic share, but a vital resource from which to thrust their appetites for production, consumption, and destruction out there. © 2022 Elsevier B.V., All rights reserved.","commodity frontier; global commons; Outer space; spectacle; technology","","K. Damjanov; Discipline of Media and Communication, The University of Western Australia, Perth, Australia; email: katarina.damjanov@uwa.edu.au","","Routledge","17530350; 17530369","","","","English","J. Cult. Econ.","Article","Final","","Scopus","2-s2.0-85130630877"
"Roman, M.; Kosiński, R.; Bhatta, K.; Niedziółka, A.; Krasnodȩbski, A.","Roman, Michał (57221056082); Kosiński, Robert (57219556393); Bhatta, Kumar (57210844277); Niedziółka, Arkadiusz (57194582755); Krasnodȩbski, Andrzej (35068210400)","57221056082; 57219556393; 57210844277; 57194582755; 35068210400","Virtual and Space Tourism as New Trends in Travelling at the Time of the COVID‐19 Pandemic","2022","Sustainability (Switzerland)","14","2","628","","","0","33","10.3390/su14020628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122370686&doi=10.3390%2Fsu14020628&partnerID=40&md5=d1ca2a610509e0114ebc4efb1519cd77","Institute of Economics, Zagreb, Croatia; Department of Economics, Szkola Glówna Gospodarstwa Wiejskiego w Warszawie, Warsaw, Poland; Kyushu University, Fukuoka, Japan; Department of Business Management and Economics, Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Krakow, Poland","Roman, Michał, Institute of Economics, Zagreb, Croatia; Kosiński, Robert, Department of Economics, Szkola Glówna Gospodarstwa Wiejskiego w Warszawie, Warsaw, Poland; Bhatta, Kumar, Kyushu University, Fukuoka, Japan; Niedziółka, Arkadiusz, Department of Business Management and Economics, Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Krakow, Poland; Krasnodȩbski, Andrzej, Department of Business Management and Economics, Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Krakow, Poland","The first European COVID‐19 infection was recorded in February 2020, and Poland fol-lowed in mid‐March. Restrictions were imposed on traveling between states and using public space. These movement restrictions forced a search for new, often innovative, forms of tourism. Google Earth virtual reality (VR), Google Street View, and the Chernobyl VR Project are just some of the selected opportunities to create virtual tours. Different activities using VR mean that people can experience the illusion of travelling in time and space, outside of their everyday surroundings, in a digitally constructed three‐dimensional (3D) environment, for cognition or entertainment. There-fore, this study aimed to present virtual and space tourism as new traveling trends during various crise,s such as health, economic, etc. A diagnostic survey with a developed questionnaire was conducted in June and July 2021 in Poland. A total of 564 fully answered responses were collected from randomly selected respondents. We found that around 82% of Polish people were aware of VR technology, and 70% believed that new technologies determine VR tourism development. VR pre-sents the possibility of travelling to places that no longer exist in their original form, but have been reconstructed only in VR. Around 75% of the respondents agreed that VR tourism plays an essential role in tourism promotion in Poland and throughout the world. Moreover, VR and augmented tourism lets us visit fictitious and dangerous, politically restricted, and geographically as well as eco-nomically difficult destinations. For example, our results revealed that many people want to experience North Korea, the USA, Antarctica, Syria, etc. At the same time, people recommended the NASA space station as a visiting destination using VR and augmented reality. VR offers an alternative form of tourism during crises and pandemics such as COVID‐19. We found over 26% of the respondents were satisfied with contemporary tourists’ cognitional needs during VR sightseeing. More than 87% of the respondents believed that VR tourism cannot substitute real‐world tourism in the long run. However, VR tourism will be more beneficial for developing countries facing diffi-culties in economic aspects, and easier than attaining visas to enter developed countries. Further-more, virtual sightseeing may also constitute an alternative for people who are disabled or sick, and who cannot undertake the effort of active tourism and explore tourist resources of the world on their own. © 2022 Elsevier B.V., All rights reserved.","Augmented reality; COVID‐19 pandemic; Health; Space tourism; Tourism trends; Virtual reality; Virtual tourism","cognition; COVID-19; public space; questionnaire survey; three-dimensional modeling; tourism market; tourist destination; virtual reality; North Korea; Poland [Central Europe]; Syrian Arab Republic; United States","K. Bhatta; Kyushu University Institute for Asian and Oceanian Studies, Fukuoka, Motooka 744, 819‐0395, Japan; email: kumar2bhatta@gmail.com","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85122370686"
"Laing, J.; Frost, W.","Laing, Jennifer H. (7006035125); Frost, Warwick (55603022200)","7006035125; 55603022200","Exploring prosocial and environmental motivations of frontier tourists: implications for sustainable space tourism","2022","Journal of Sustainable Tourism","30","9","","2254","2270","0","30","10.1080/09669582.2021.1897131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102516263&doi=10.1080%2F09669582.2021.1897131&partnerID=40&md5=258b38739525d7c1fa6758babc3f1fce","Sport and Tourism, La Trobe University, Melbourne, Australia","Laing, Jennifer H., Sport and Tourism, La Trobe University, Melbourne, Australia; Frost, Warwick, Sport and Tourism, La Trobe University, Melbourne, Australia","While there are plans for spacecraft to take private travellers to the edge of space, we are yet to see this occur beyond a few individuals. Before this happens in larger numbers, research is needed about the sustainability of private space flight, including potential travellers’ awareness of and views about the environmental implications of their spaceflight. This article aims to address this gap by examining the travel motivations of frontier tourists–those individuals who seek to visit some of the most fragile locations on and off the planet, including outer space–connected to the environmental sustainability of this travel. Given space tourism is a subset of frontier tourism, studying the latter might help us to understand the behaviour of the nascent space tourist. Qualitative interviews with frontier tourists were conducted and analysed using grounded theory techniques. While participants referred to the unspoilt characteristics of places, untainted by human activity, as an integral part of their travel experience, many did not see the paradox inherent in this travel. Some who did referred to prosocial motivations connected to environmental causes and saw themselves as ambassadors for conservation. The article concludes with the implications of these findings for sustainable space tourism. © 2022 Elsevier B.V., All rights reserved.","ambassador; citizenship; environment; frontier; prosocial motivation; Space tourism","citizenship; psychology; spacecraft; sustainability; tourism; tourist behavior","J. Frost; Management, Sport and Tourism, La Trobe University, Melbourne, Australia; email: jennifer.laing@latrobe.edu.au","","Routledge","17477646; 09669582","","","","English","J. Sustainable Tour.","Article","Final","","Scopus","2-s2.0-85102516263"
"Scott, M.","Scott, Malcolm (57219128778)","57219128778","A space tourism destination: environmental, geopolitical and tourism branding considerations for New Zealand as a ‘launch state’","2022","Journal of Sustainable Tourism","30","9","","2240","2253","0","28","10.1080/09669582.2020.1817049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091346197&doi=10.1080%2F09669582.2020.1817049&partnerID=40&md5=1680193dfffc0c440a44b669d3048798","UC Business School, University of Canterbury, Christchurch, New Zealand","Scott, Malcolm, UC Business School, University of Canterbury, Christchurch, New Zealand","Favourable media coverage and the New Zealand space agency’s focus on commercial opportunities, positioned within the Ministry of Business Innovation & Employment that is also responsible for tourism, provides a basis for a developing space tourism industry. There are many possible environmental, cultural, and geo-political consequences to being a space launch state with implications for tourism, sustainability, and tourism branding. The ‘100% PURE NEW ZEALAND’ tourism brand in use since 1999 has received on-going criticism from various sources in response to reports of wide-spread environmental degradation in New Zealand, dairy farm conversions causing nitrate run-off and contamination of waterways, and New Zealand’s comparatively high per-capita level of greenhouse gas emissions. The establishment of commercial space launch operations, and the ancillary industrial and service facilities required, opens a new dimension of environmental hazard for New Zealand that has not been considered in the space launch legislation, or any other existing legislation, for regulating the environmental impact of rocket powered high altitude and space vehicles. This paper will examine the environmental, cultural, geopolitical and regulatory issues for New Zealand as a space launch state, and the likely implications for sustainable tourism, tourism branding, and New Zealand as a space tourism destination. © 2022 Elsevier B.V., All rights reserved.","environmental hazard; New Zealand; space tourism; sustainability; tourism branding","environmental impact assessment; environmental protection; geopolitics; hazard assessment; legislation; sustainability; tourist destination; New Zealand","M. Scott; UC Business School, College of Business and Law, University of Canterbury, Christchurch, New Zealand; email: malcolm.scott@canterbury.ac.nz","","Routledge","17477646; 09669582","","","","English","J. Sustainable Tour.","Article","Final","","Scopus","2-s2.0-85091346197"
"Toivonen, A.","Toivonen, Annette (57217531333)","57217531333","Sustainability dimensions in space tourism: the case of Finland","2022","Journal of Sustainable Tourism","30","9","","2223","2239","0","52","10.1080/09669582.2020.1783276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087356448&doi=10.1080%2F09669582.2020.1783276&partnerID=40&md5=b47fa1bd3d953d17f5afc04e8e90934d","Lapin Yliopisto, Rovaniemi, Finland","Toivonen, Annette, Lapin Yliopisto, Rovaniemi, Finland","The current emergence of a new space economy is leading to the exploration of outer space towards unforeseen futures. Space tourism is a new addition to the tourism industry, prompted in large part by adventure-seeking individualism and potentially lucrative private business prospects. However, in light of the current megatrend of environmentalism, different space tourism activities are facing climate change-related challenges to convince the greater public of their necessity, especially as the high cost involved for suborbital space travel limits it to a niche adventure activity for the wealthy. This article explores the views held by the Finnish populace in relation to space tourism and sustainability through an empirical study. The data are derived from two surveys: the first gathering Finnish public opinion on space tourism’s sustainability with the use of principal component analysis; the second utilising a professional Delphi panel for qualitative explanations. The findings, analysed using grounded theory, can be compressed into four dimensions–“virtual travel”, “comparative fairness”, “technological innovations” and “ecopolitics”–through which actions towards sustainability in space tourism might be enhanced in different national planning strategies. © 2022 Elsevier B.V., All rights reserved.","Delphi method; new space economy; Space tourism; sustainable tourism development; virtual travel","climate change; Delphi analysis; individualism; national planning; sustainable development; tourism development; Finland","A. Toivonen; Multidimensional Tourism Institute/University of Lapland, Finland; email: annette.toivonen@gmail.com","","Routledge","17477646; 09669582","","","","English","J. Sustainable Tour.","Article","Final","","Scopus","2-s2.0-85087356448"
"Cohen, E.; Spector, S.","Cohen, Erik (7403589512); Spector, Samuel (55233532200)","7403589512; 55233532200","Comparative visions of cosmic expansion: implications for sustainability","2022","Journal of Sustainable Tourism","30","9","","2207","2222","0","3","10.1080/09669582.2020.1777142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087018961&doi=10.1080%2F09669582.2020.1777142&partnerID=40&md5=e72bb6996940d86ffaa95fa3e7278539","Hebrew University of Jerusalem, Jerusalem, Israel; Department of Management, University of Canterbury, Christchurch, New Zealand","Cohen, Erik, Hebrew University of Jerusalem, Jerusalem, Israel; Spector, Samuel, Department of Management, University of Canterbury, Christchurch, New Zealand","The visions of the primary protagonists of the development of outer space diverge in terms of both their motives for and means of extending life into the cosmos. The present article analyses the implications for sustainability associated with the visions of three prominent entities–the National Aeronautics and Space Administration (NASA), the ‘space entrepreneurs’ who lead the private spaceflight industry (such as Elon Musk, Richard Branson, and Jeff Bezos), and transhumanists. This latter category aims to accelerate evolutionary processes to transform humans into a new ‘posthuman’ species which will be imbued with a greatly extended lifespan and other capabilities that enhance survivability in outer space. Due to the inchoate nature of safer and more affordable spaceflight, it is currently unclear which vision of space development will come to fruition. As explored in this article, the proposals advocated by NASA, space entrepreneurs, and transhumanists are associated with divergent implications for sustainability. Trade-off decisions must be made in terms of whether to minimise impacts on Earth, other celestial bodies, or the human form. While it is currently unclear which vision will eventuate, the process of space exploration and settlement is poised to considerably alter current conceptualisations of sustainability. © 2022 Elsevier B.V., All rights reserved.","posthumanism; posthumanism; Space tourism; sustainable development; sustainable tourism; transhumanism","comparative study; conceptual framework; sustainability; sustainable development; tourism management","E. Cohen; Department of Sociology and Anthropology Hebrew University of Jerusalem, Jerusalem, Israel; email: erik.cohen@mail.huji.ac.il","","Routledge","17477646; 09669582","","","","English","J. Sustainable Tour.","Article","Final","","Scopus","2-s2.0-85087018961"
